president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/4/2021,1/19/2021,1/21/2021,Morning Consult,B,15000,a,.25936103,0,50,28,48.633492,31.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.33818752,0,48,45,50.496072,38.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,.09297777,0,56,31,54.633492,34.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,46.529125,28.428661,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55,32,53.942488,32.864153,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/20/2021,1/22/2021,Morning Consult,B,15000,a,.23326085,0,51,28,49.633492,31.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,58.698938,37.97354,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,.8806739,0,58,32,56.952516,33.062875,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1776436,0,48,47,50.496072,40.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,1/21/2021,1/23/2021,Morning Consult,B,15000,a,.21460409,0,52,29,50.633492,32.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,12:13:10  4 Oct 2021
