"","president","subgroup","modeldate","startdate","enddate","pollster","grade","samplesize","population","weight","influence","approve","disapprove","adjusted_approve","adjusted_disapprove","multiversions","tracking","url","poll_id","question_id","createddate","timestamp","pop2","pop3"
"1","Joseph R. Biden Jr.","All polls","10/4/2021","1/19/2021","1/21/2021","Morning Consult","B",15000,"a",0.25936103,0,50,28,48.633492,31.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74272,139491,"1/28/2021","12:13:10  4 Oct 2021",0,0
"4","Joseph R. Biden Jr.","All polls","10/4/2021","1/20/2021","1/21/2021","YouGov","B+",1516,"a",1.2454012,0,45,28,46.529125,28.428661,"",NA,"https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf",74327,139570,"2/2/2021","12:13:10  4 Oct 2021",0,0
"5","Joseph R. Biden Jr.","All polls","10/4/2021","1/20/2021","1/21/2021","Ipsos","B-",1115,"a",1.1013975,0,55,32,53.942488,32.864153,"",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf",74248,139404,"1/22/2021","12:13:10  4 Oct 2021",0,0
"6","Joseph R. Biden Jr.","All polls","10/4/2021","1/20/2021","1/22/2021","Morning Consult","B",15000,"a",0.23326085,0,51,28,49.633492,31.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74273,139492,"1/28/2021","12:13:10  4 Oct 2021",0,0
"10","Joseph R. Biden Jr.","All polls","10/4/2021","1/21/2021","1/23/2021","Morning Consult","B",15000,"a",0.21460409,0,52,29,50.633492,32.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74274,139493,"1/28/2021","12:13:10  4 Oct 2021",0,0
"12","Joseph R. Biden Jr.","All polls","10/4/2021","1/21/2021","1/24/2021","Monmouth University","A",809,"a",1.5307823,0,54,30,54.658347,30.151079,"",NA,"https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/",74263,139456,"1/27/2021","12:13:10  4 Oct 2021",0,0
"14","Joseph R. Biden Jr.","All polls","10/4/2021","1/22/2021","1/24/2021","Morning Consult","B",15000,"a",0.19996795,0,53,29,51.633492,32.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74257,139494,"1/28/2021","12:13:10  4 Oct 2021",0,0
"15","Joseph R. Biden Jr.","All polls","10/4/2021","1/23/2021","1/25/2021","Morning Consult","B",15000,"a",0.18823914,0,53,30,51.633492,33.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74275,139495,"1/28/2021","12:13:10  4 Oct 2021",0,0
"18","Joseph R. Biden Jr.","All polls","10/4/2021","1/22/2021","1/25/2021","Morning Consult","B",2200,"a",0.08282522,0,56,32,54.633492,35.303606,"",NA,"https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf",74376,139763,"2/15/2021","12:13:10  4 Oct 2021",0,0
"19","Joseph R. Biden Jr.","All polls","10/4/2021","1/24/2021","1/26/2021","Morning Consult","B",15000,"a",0.18001159,0,53,30,51.633492,33.303606,"",TRUE,"https://morningconsult.com/form/global-leader-approval/",74276,139496,"1/28/2021","12:13:10  4 Oct 2021",0,0
